iter	Passed	Remaining
0	1	168
1	3	154
2	4	143
3	5	128
4	6	130
5	8	136
6	9	131
7	11	127
8	12	131
9	14	131
10	16	131
11	18	133
12	19	132
13	21	131
14	22	129
15	24	126
16	25	124
17	26	121
18	28	120
19	29	119
20	31	119
21	32	115
22	34	114
23	35	113
24	37	111
25	38	109
26	39	107
27	41	106
28	43	105
29	44	102
30	45	100
31	46	99
32	48	97
33	49	96
34	51	96
35	54	96
36	56	95
37	58	95
38	60	95
39	61	92
40	62	90
41	63	87
42	64	84
43	65	83
44	67	82
45	68	80
46	69	78
47	71	77
48	71	74
49	72	72
50	73	70
51	74	68
52	76	67
53	77	65
54	78	64
55	81	63
56	82	62
57	83	60
58	84	58
59	85	56
60	86	55
61	87	53
62	88	51
63	88	50
64	89	48
65	90	46
66	91	45
67	92	43
68	93	41
69	94	40
70	95	38
71	96	37
72	97	35
73	98	34
74	98	32
75	99	31
76	100	30
77	101	28
78	102	27
79	103	25
80	105	24
81	105	23
82	106	21
83	107	20
84	108	19
85	109	17
86	111	16
87	113	15
88	115	14
89	118	13
90	120	11
91	121	10
92	123	9
93	124	7
94	126	6
95	127	5
96	128	3
97	131	2
98	132	1
99	133	0
