iter	Passed	Remaining
0	150	150325
1	151	75638
2	152	50600
3	152	38078
4	153	30569
5	154	25557
6	155	21994
7	157	19534
8	158	17462
9	159	15773
10	160	14392
11	160	13243
12	161	12277
13	162	11453
14	163	10742
15	164	10120
16	165	9561
17	166	9063
18	167	8629
19	168	8239
20	169	7914
21	171	7614
22	172	7338
23	174	7095
24	175	6844
25	176	6606
26	177	6384
27	178	6185
28	179	5994
29	179	5819
30	181	5658
31	182	5524
32	184	5392
33	185	5257
34	186	5139
35	187	5016
36	188	4898
37	189	4786
38	189	4680
39	190	4581
40	191	4485
41	192	4398
42	193	4313
43	194	4232
44	195	4152
45	197	4095
46	199	4040
47	200	3977
48	201	3911
49	202	3848
50	203	3786
51	204	3729
52	205	3673
53	206	3620
54	207	3565
55	208	3515
56	209	3465
57	210	3422
58	213	3404
59	214	3359
60	215	3314
61	216	3270
62	217	3230
63	218	3191
64	219	3153
65	220	3116
66	221	3078
67	221	3041
68	222	3004
69	223	2971
70	224	2937
71	225	2907
72	227	2887
73	228	2858
74	229	2827
75	230	2799
76	231	2769
77	231	2741
78	232	2715
79	234	2691
80	234	2664
81	235	2639
82	236	2609
83	237	2586
84	238	2562
85	238	2539
86	239	2517
87	240	2495
88	242	2481
89	243	2466
90	244	2445
91	245	2423
92	246	2402
93	247	2382
94	248	2363
95	248	2343
96	249	2324
97	250	2305
98	251	2287
99	252	2269
100	253	2252
101	253	2234
102	254	2218
103	255	2201
104	256	2190
105	258	2182
106	259	2168
107	260	2153
108	261	2138
109	262	2123
110	263	2108
111	264	2093
112	264	2079
113	265	2065
114	266	2052
115	267	2038
116	268	2023
117	269	2011
118	269	1998
119	270	1985
120	272	1982
121	273	1969
122	274	1957
123	275	1945
124	276	1933
125	277	1921
126	277	1910
127	279	1900
128	280	1890
129	280	1880
130	281	1869
131	282	1859
132	283	1850
133	284	1840
134	285	1830
135	287	1829
136	288	1820
137	289	1810
138	290	1801
139	291	1792
140	292	1784
141	293	1773
142	294	1765
143	295	1756
144	296	1749
145	297	1741
146	298	1733
147	299	1724
148	300	1716
149	302	1716
150	304	1709
151	305	1702
152	306	1695
153	307	1688
154	308	1681
155	309	1674
156	310	1667
157	311	1659
158	312	1651
159	313	1643
160	313	1634
161	314	1626
162	315	1618
163	316	1611
164	317	1608
